q_id,entity,q_status,type_clean,state,county,county_fips,geo_level,month,month_source,mw_1,region,metric_label,not_data_center_permits
Q184,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-01,q_date,300.0,West,generation_storage_interconnection_queue_activity,true
Q185,APS,withdrawn,Solar,AZ,Cochise,04003,county_fips,2011-01,q_date,15.0,West,generation_storage_interconnection_queue_activity,true
Q186,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-02,q_date,16.0,West,generation_storage_interconnection_queue_activity,true
Q187,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-02,q_date,25.0,West,generation_storage_interconnection_queue_activity,true
Q188,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-02,q_date,8.0,West,generation_storage_interconnection_queue_activity,true
Q189,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-02,q_date,12.0,West,generation_storage_interconnection_queue_activity,true
Q19,APS,withdrawn,Gas,AZ,Yuma,04027,county_fips,2005-09,q_date,95.0,West,generation_storage_interconnection_queue_activity,true
Q190,APS,withdrawn,Solar,AZ,Cochise,04003,county_fips,2011-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q191,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2011-03,q_date,15.0,West,generation_storage_interconnection_queue_activity,true
Q192,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q193,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-03,q_date,450.0,West,generation_storage_interconnection_queue_activity,true
Q194,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2011-04,q_date,16.0,West,generation_storage_interconnection_queue_activity,true
Q195,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-04,q_date,16.0,West,generation_storage_interconnection_queue_activity,true
Q196,APS,operational,Solar+Wind,AZ,Coconino,04005,county_fips,2011-05,q_date,161.0,West,generation_storage_interconnection_queue_activity,true
Q197,APS,withdrawn,Solar+Wind+Battery,AZ,Coconino,04005,county_fips,2011-05,q_date,302.35,West,generation_storage_interconnection_queue_activity,true
Q199,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q2,APS,withdrawn,Wind,AZ,Coconino,04005,county_fips,2004-05,q_date,60.0,West,generation_storage_interconnection_queue_activity,true
Q20,APS,operational,Gas,AZ,Maricopa,04013,county_fips,2005-09,q_date,2334.0,West,generation_storage_interconnection_queue_activity,true
Q200,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2011-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q201,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2011-06,q_date,150.0,West,generation_storage_interconnection_queue_activity,true
Q202,APS,operational,Solar,AZ,Navajo,04017,county_fips,2011-07,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q203,APS,withdrawn,Wind,AZ,Coconino,04005,county_fips,2011-07,q_date,250.0,West,generation_storage_interconnection_queue_activity,true
Q204,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-09,q_date,19.0,West,generation_storage_interconnection_queue_activity,true
Q205,APS,operational,Solar,AZ,Yuma,04027,county_fips,2011-09,q_date,35.0,West,generation_storage_interconnection_queue_activity,true
